pool,alpha,scenario,budget_pct,seed,yield_kg_ha,pct_mpc,mean_abs_du,water_used_mm,drought_days,waterlog_days,spatial_equity_cv
A,0.1,moderate,85,2,3739.9501123522446,100.39932481610658,0.3610263292451651,411.4000000000001,17.861538461538462,10.03076923076923,0.007474473594846914
A,0.1,moderate,100,0,3793.709197654225,102.02438820756393,0.24327165548948523,410.4889525889402,18.276923076923076,7.230769230769231,0.01785498414798375
A,0.1,moderate,100,1,3776.506487635561,101.56175497087526,0.30296495269271856,427.20620329579117,26.307692307692307,13.607692307692307,0.006886387132087185
A,0.1,moderate,100,2,3772.3679048041495,101.45045588087591,0.3307122432711825,424.9067161620311,19.353846153846153,10.838461538461539,0.008808942016140766
A,0.1,wet,70,0,3599.8753964862117,95.90099806691566,0.2819925652613065,278.5640796215971,44.215384615384615,21.076923076923077,0.010879986500373555
A,0.1,wet,70,1,3645.2837644858237,97.11068099538679,0.3241147903278347,297.10614520766705,35.738461538461536,23.407692307692308,0.00797506024488632
A,0.1,wet,70,2,3603.936466693138,96.0091853354095,0.35596305972344866,292.82767345149404,36.43076923076923,23.79230769230769,0.012811421769350243
A,0.1,wet,85,0,3611.7993110020952,96.5001631843729,0.29039839597614203,296.34071272859757,37.88461538461539,24.53076923076923,0.011390260151888225
A,0.1,wet,85,1,3639.7425693737086,97.24675200633477,0.3225317653909542,299.6189526446863,32.99230769230769,24.4,0.00832759357623874
A,0.1,wet,85,2,3594.4584560331855,96.03684969705954,0.349525891958624,288.30627554751885,34.57692307692308,25.692307692307693,0.013569642962176042
A,0.1,wet,100,0,3608.1889497112347,95.99542771828459,0.3014827937134375,308.0845401987861,33.5,27.823076923076922,0.011719586115940485
A,0.1,wet,100,1,3622.023210329498,96.36348653774377,0.33507242044064345,301.1142335390729,33.61538461538461,27.6,0.00875319292023423
A,0.1,wet,100,2,3589.341263119115,95.49398731116415,0.3470104390486913,290.12690087953644,32.53076923076923,28.753846153846155,0.014268066799472586
A,0.2,dry,70,0,3706.792499101361,98.42061878070412,0.5505322867051058,338.7999999999999,61.03846153846154,9.115384615384615,0.019226255118465537
A,0.2,dry,70,1,3716.5784116551768,98.680448692714,0.49772674265123695,338.8,65.49230769230769,0.6615384615384615,0.03264011886527309
A,0.2,dry,70,2,3774.2699798078593,100.21224197151034,0.5687654562863746,338.7999999999998,47.66153846153846,5.2,0.005655129767371627
A,0.2,dry,85,0,4029.745504250661,99.0324962001533,0.5287819255768619,411.3999999999999,40.91538461538462,7.915384615384616,0.018181674271893277
A,0.2,dry,85,1,4040.6217484315853,99.29978395055421,0.5324444958771677,411.3999999999998,47.784615384615385,1.2230769230769232,0.009393972780327269
A,0.2,dry,85,2,4107.135126533623,100.9343749829659,0.7125594329542116,411.4000000000001,26.630769230769232,2.6846153846153844,0.00577683528074881
A,0.2,dry,100,0,4194.714590959845,101.19639398608533,0.4807557612665544,478.66416997227515,18.807692307692307,8.076923076923077,0.009016167470295456
A,0.2,dry,100,1,4151.622803770475,100.15681587429246,0.4420612625112756,462.12779117907706,34.02307692307692,2.7384615384615385,0.007353283069425841
A,0.2,dry,100,2,4162.645771826247,100.42274209980302,0.6910116129268421,484.0000000000001,24.369230769230768,4.061538461538461,0.009249314833486302
A,0.2,moderate,70,0,3512.3747316732147,97.24886239482264,0.5249784181084665,338.8,57.83076923076923,1.7769230769230768,0.028258850305511375
A,0.2,moderate,70,1,3599.563330408062,99.66289639987977,0.4676048146447036,338.7999999999999,53.19230769230769,0.43846153846153846,0.02431909040357732
A,0.2,moderate,70,2,3635.9168733320034,100.66943498515495,0.5745110896214609,338.7999999999998,45.5,1.3307692307692307,0.00914617012159449
A,0.2,moderate,85,0,3684.5950255345697,98.91331212217362,0.5138227453510319,384.5146123250503,35.63846153846154,3.376923076923077,0.023150412161210523
A,0.2,moderate,85,1,3772.9210073652266,101.28443170214581,0.48807308365912255,411.39999999999986,25.015384615384615,8.23076923076923,0.007286993414890111
